train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.24457446,4.516236,0.27869627,0.27489683,3.979044,0.19473629,0
0.28616625,3.8957267,0.21296407,0.27682725,3.7556334,0.15229961,1
0.28761202,3.7581441,0.22287999,0.27840197,3.6271749,0.15800112,2
0.28770816,3.620813,0.2666473,0.2792769,3.4894578,0.18212736,3
0.2925409,3.5192313,0.242306,0.28193447,3.3920372,0.13883194,4
0.29299068,3.4439762,0.21435843,0.28424966,3.3210561,0.16915901,5
0.29626223,3.3879468,0.17790247,0.28541633,3.2593768,0.13191192,6
0.2929602,3.3669572,0.16838959,0.2874116,3.2148783,0.09933939,7
0.28929174,3.365976,0.16438538,0.28553987,3.2001266,0.12925465,8
0.2945226,3.317176,0.15109538,0.2867855,3.1722107,0.09913648,9
0.29534695,3.2922008,0.13980715,0.28784773,3.145812,0.08483627,10
0.29845208,3.251562,0.13338897,0.28802702,3.155695,0.094778225,11
0.29635423,3.2488003,0.12912413,0.28772342,3.1511624,0.09044846,12
0.29983717,3.2266405,0.123135716,0.28874296,3.1307356,0.07791148,13
0.29510143,3.2422023,0.12448583,0.28928387,3.1199324,0.090664595,14
0.29636306,3.2176843,0.12236014,0.2872071,3.1426172,0.05702443,15
0.29489544,3.1973307,0.11055394,0.29016826,3.07677,0.05157828,16
0.29653722,3.1937318,0.11432033,0.28685308,3.1292553,0.10845243,17
0.29761633,3.1619143,0.109956294,0.28841132,3.0954108,0.0793442,18
0.29992643,3.147576,0.10493509,0.2909768,3.0553055,0.05778302,19
0.2973563,3.1398087,0.103991136,0.29103053,3.0405087,0.08134696,20
