train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.006255797,5.4236374,0.3799868,0.0060174554,5.353064,0.3109511,0
0.0074263993,5.391126,0.40757158,0.009753572,5.317294,0.44104767,1
0.0147915045,5.295066,0.43652472,0.014245169,5.1011133,0.32619947,2
0.01672275,5.226077,0.3424298,0.013841262,5.102105,0.27684164,3
0.017714541,5.1917176,0.31753454,0.015892008,5.0377126,0.20860884,4
0.017957103,5.167173,0.3058234,0.015842985,5.0095906,0.25323552,5
0.018283285,5.147797,0.28754592,0.014744842,5.0837054,0.18365057,6
0.018412856,5.1257725,0.2815006,0.01476119,5.0408626,0.25394824,7
0.01847775,5.114525,0.281585,0.012360175,5.1868634,0.2592221,8
0.018751953,5.102886,0.27457756,0.015711829,5.0049505,0.21592721,9
0.019138984,5.098479,0.27511126,0.016482698,4.9790945,0.22290255,10
0.01881457,5.094762,0.27272737,0.015729846,4.989518,0.22073776,11
0.018852772,5.087896,0.27571154,0.016125098,5.006573,0.24602658,12
0.019243687,5.0721793,0.27102986,0.016267836,4.9831476,0.2187289,13
0.019271115,5.067791,0.27157888,0.01720578,4.9723473,0.22420615,14
0.019470336,5.064171,0.26645023,0.01623627,5.015061,0.25120044,15
0.01931465,5.058175,0.2601784,0.016459983,4.9944115,0.26412982,16
0.01942726,5.0528083,0.2648772,0.016508173,5.0070677,0.22885089,17
0.01951333,5.050171,0.2540245,0.016427603,4.967401,0.23405348,18
0.019287882,5.0407796,0.25401703,0.01671513,4.976903,0.21611336,19
0.019571356,5.032915,0.24806888,0.017032871,4.918717,0.21036777,20
0.019957209,5.027718,0.24255915,0.016674863,4.9405203,0.21443307,21
0.020200338,5.0204997,0.23163082,0.01746798,4.897858,0.17986746,22
0.02018737,5.0124383,0.22803801,0.016774368,4.9361305,0.20001954,23
0.02055978,5.009066,0.22686549,0.018573876,4.8641915,0.1556513,24
0.020162484,5.0034323,0.22723156,0.017823484,4.8919744,0.17732143,25
0.02006761,4.994973,0.22374424,0.018095834,4.8882775,0.16574797,26
0.020836953,4.984804,0.22355288,0.018241305,4.8675246,0.17229514,27
0.021202328,4.9739604,0.21736374,0.018175717,4.9035416,0.23121837,28
0.021456018,4.9753256,0.21777055,0.016018052,4.9735937,0.22118838,29
